,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy,filename
0,232549.0,3144.089858174324,1180,841,1.4030915576694412,4.267401708887159,42.50846503865698,8.865353645833334,11.580898958333334,8.3989640625,27.80021474071994,32.90227908367763,27.40335675662745,25.910622143894056,0.9963794699180626,0.8974215804190255,1.9316672701602953,1001.jpg
0,474562.5,3473.489791870117,1219,909,1.341034103410341,2.3349316475701305,25.423693052497637,23.752019270833333,30.0818265625,16.240280208333335,43.42902016551977,53.24297210799585,33.112201864214434,19.731936962454203,0.9977564634496128,0.8228754197562329,3.3696926942909187,1002.jpg
0,419871.0,3987.5153954029083,1411,1160,1.2163793103448275,3.8982449371354537,37.869438538444456,17.470908333333334,23.9446484375,13.222305729166667,36.48265563261895,46.32977200705138,31.868379859200246,22.333379618391817,0.9977272014931196,0.8468605850479858,3.018129036961551,1003.jpg
0,435572.0,3009.0419677495956,985,807,1.2205700123915737,1.824945129622657,20.78722590909966,19.343993229166667,25.105472395833335,14.664245833333334,37.98888032772379,47.36595656924438,31.541930547784112,20.139154472267336,0.9978197149786221,0.8407514639795701,3.097287488994386,1004.jpg
0,238858.5,4008.5418570041656,1494,1154,1.2946273830155979,7.217980519847525,67.27166008056822,11.221183854166666,14.514542708333334,8.780794270833333,32.63093830206986,39.28453531036484,29.519376235406227,23.323630657727072,0.9962230747733762,0.8930478703031386,2.0026923915664367,1005.jpg
0,262129.0,3625.633138179779,1354,1022,1.324853228962818,5.279034368574251,50.147887691431904,13.534938020833334,17.3377484375,8.595165104166666,35.936337360342755,43.756763185026216,28.645107363991773,18.680454411361495,0.9968419013122407,0.8899645691618472,2.113751748057293,1006.jpg
0,299902.5,4144.174324274063,1551,1149,1.349869451697128,5.942261234901343,57.265880844515756,12.245638020833333,16.009052604166666,10.539146875,32.39225545597622,38.875953804327324,30.393885998072765,23.901044986882354,0.9971230614100621,0.8851244620137004,2.3207091401057616,1007.jpg
0,331583.0,4322.500231027603,1600,1200,1.3333333333333333,5.790405418854404,56.347907604532445,15.74196875,20.710508854166665,11.070985416666666,37.02711889164062,45.83789334416069,30.88985070691701,21.533440173846973,0.9971544632946965,0.8666798481803384,2.5173437188350127,1008.jpg
0,251918.0,3705.456520676613,1373,1064,1.2904135338345866,5.798998086678998,54.50348139721984,14.205625,16.341672395833335,10.338369270833333,37.93803423051917,42.458322641579066,31.052132181339655,23.522788394356105,0.9956713141113562,0.8848506273929481,2.1190586578561588,1009.jpg
0,193397.0,2851.746717572212,926,950,0.9747368421052631,4.548674488228876,42.05059717153775,15.427613020833334,16.280896354166668,8.307525520833334,45.7226872902492,47.98101292057141,28.559232060168103,9.925562408563533,0.9960950039100404,0.9239725860006955,1.5533058563275102,1010.jpg
0,282086.0,4015.9905689954758,1498,1130,1.3256637168141594,6.000794084073651,57.17469229334531,12.938875,15.227991666666666,11.757764583333334,33.81641165274204,38.08490399762436,32.618737060462344,32.89431950658473,0.9956051267384816,0.8653107108463365,2.3870097257265157,1011.jpg
0,226219.5,4275.051516056061,1600,1200,1.3333333333333333,8.487331993926253,80.78908080396793,10.818905208333334,13.646123958333334,8.760461458333333,32.54762989786043,38.2072303350051,30.158858867040305,20.402567825873938,0.996579359598402,0.9005650525464648,1.9043938543753054,1012.jpg
0,329387.0,3984.392587661743,1459,1145,1.274235807860262,5.071708962405924,48.19675425142413,21.606877083333334,25.2634609375,10.002001041666666,47.75957120695694,54.93698683208405,30.053582342556652,15.506080821946508,0.9970775246628055,0.8752181077869977,2.465561844041832,1013.jpg
0,278162.5,3874.2920858860016,1427,1124,1.269572953736655,5.766226576191974,53.961763957251264,11.308203645833334,13.748861458333334,10.260242708333333,30.997036208996846,35.29261583614748,30.166050640293623,28.272961872623817,0.9965382824806296,0.8747196821675268,2.288297963364711,1014.jpg
0,227440.5,4012.5418634414673,1505,1145,1.314410480349345,7.576596956126987,70.78990859530437,11.790928125,14.321632291666667,9.0056921875,34.97473950631251,40.0465546604069,30.489832037962554,23.276335073592747,0.9959630571659415,0.8945670415068495,2.0432894540756585,1015.jpg
0,403669.5,4011.0717449188232,1470,1116,1.3172043010752688,4.064017717464411,39.85611135566629,16.573821875,19.435884895833333,15.787771875,35.494247381875425,39.708118668752775,34.86460300299275,50.623108663494556,0.9952097600037901,0.8074078751212733,3.2740234178765792,1016.jpg
0,222181.5,3329.969144821167,1203,995,1.2090452261306532,5.38741974466821,49.908270965228944,10.513570833333333,12.250344270833333,9.521286458333334,31.35861315424333,35.00369712818767,30.137931336109055,19.502871540877386,0.9968021394189748,0.9039590604409338,1.8748876294706878,1017.jpg
0,321507.5,4127.605800032616,1529,1151,1.3284100781928758,5.47383498052145,52.991390995429,14.834763541666666,18.451114583333332,11.119406770833333,35.62890022562916,42.0520131157955,30.73507005174348,26.65489139402746,0.9966109197821571,0.8626189852522486,2.456956853112149,1018.jpg
0,325497.5,3354.2736243009567,1183,951,1.2439537329127235,3.456349127105431,34.56601524337691,11.890294791666667,15.6809765625,11.186240625,30.446000732454102,36.54041695769437,29.832443728340472,28.77184876497691,0.9969360139550207,0.8597642489820387,2.577310055995471,1019.jpg
0,245126.0,4031.5540566444397,1468,1200,1.2233333333333334,7.186508163148748,66.30642245884255,10.392828645833333,13.590600520833334,9.02498125,30.933281509174645,36.83159045014608,29.33118835492603,25.11326281223252,0.9963950922152849,0.8931788171351949,2.016043451935216,1020.jpg
0,299517.5,3908.5174787044525,1430,1151,1.2423979148566464,5.495271561761833,51.00372726581322,11.574479166666666,15.5167046875,10.216766145833333,31.08984776585008,37.775215738343775,29.882972218035032,23.899836138426323,0.9972395044364255,0.8682811304489215,2.4379236182691395,1021.jpg
